SamplePopID,PopName,Average SNP count,medianFST,medianFSTregion,MedianFSTAdjustedNeighbors,numberofNeighborswithin1000km,harmonicMean,harmonicMean_5perc,harmonicMean_95perc
1,Abazin,588954,0.03887995,0.0103934,0.005008904,39,18620.3728,8096.5372,9.67E+04
2,Abkhasian,596356,0.05036335,0.0171617,0.006406259,39,13977.706,6828.5972,4.68E+04
3,Adygei,596119.5,0.0431809,0.0139298,0.006432579,42,9415.1515,7110.3385,1.36E+04
4,Afar_WGA,595682,0.06301375,0.06149195,0.020113579,5,9747.9143,3490.5992,5.54E+05
5,Albanian,596143,0.04910615,0.0132319,0.002463208,22,8186.0124,4500.5548,2.28E+04
6,Aleut,596737.5,0.04453375,0.0347043,NA,0,1660.3907,1185.9285,2.47E+03
7,Algerian,596145,0.0545835,0.0990424,0.01974172,20,6868.9496,3055.8899,1.16E+05
8,Algonquin,595764,0.1143,0.0999562,NA,1,421.224,311.6595,5.80E+02
9,Altaian,596202,0.062467,0.0522328,0.007210885,19,2761.0343,1438.7303,7.34E+03
10,Altaian_Chelkans,584760,0.06037535,0.0541347,0.024866017,17,787.7669,470.071,1.38E+03
11,Altaian_Kizhi,585159.5,0.0616769,0.0520113,0.010906161,19,2355.257,1469.003,3.92E+03
12,Altaian_Telengit,585001,0.0673324,0.0574246,0.015475646,19,1325.1286,764.3832,3.05E+03
13,Ami,596311,0.126257,0.02970715,0.036532269,3,1833.6231,1453.8177,2.47E+03
14,Armenian,596524,0.0479729,0.0151232,0.005171931,41,47533.8511,18660.3985,3.98E+05
15,Armenian_Hemsheni,588780.5,0.05205655,0.0183496,0.008180365,46,3183.3437,1958.0334,6.25E+03
16,Ashkenazi_Jew,596170,0.0491022,0.0158049,0.009641297,18,3221.4497,2146.8091,5.66E+03
17,Assyrian,590547,0.0494605,0.0182721,NA,0,6285.638,3990.4243,1.08E+04
18,Assyrian_WGA,590258,0.05362545,0.0226316,0.011872605,41,3821.3773,1361.6467,4.50E+04
19,Ata_Uassilau,590562,0.1681945,0.0636187,0.064200928,28,443.9116,239.427,1.13E+03
20,Atayal,596350.5,0.144668,0.05238965,0.057628782,2,NA,NA,NA
21,Avar_Gunibsky,589278,0.0457814,0.0140926,0.007793931,40,5291.0103,2270.7897,4.08E+04
22,Avar_Unchukulsky,589361,0.05249905,0.0208013,0.013230187,36,1437.098,907.9509,2.96E+03
23,Aymara,594895,0.137977,0.03972995,0.010281024,3,2838.2414,1600.9309,7.60E+03
24,Azeri_Azerbajan,588316,0.0415174,0.0143177,0.006271456,38,28142.631,10759.5869,1.65E+05
25,Azeri_Dagestan,589110,0.04671885,0.0169669,0.009853545,39,2848.2111,2122.1402,4.14E+03
26,Baining_Marabu,590396,0.210124,0.101906,NA,0,341.4064,247.5616,4.94E+02
27,Bajo,585463,0.121396,0.03628815,NA,1,657.5131,442.7612,1.07E+03
28,Balkar,596704.5,0.04179055,0.0131802,0.006455017,36,6550.7093,3817.1611,1.34E+04
29,Balochi,596458,0.03828555,0.018204,0.005293534,10,8373.6549,6204.6888,1.13E+04
30,Bashkir_Burzjan_Baimaksky,585104,0.0338607,0.0277714,0.012390957,19,3520.6157,2076.7956,7.24E+03
31,Bashkir_IkskoBelsky_Kyrgyz,589194,0.0315185,0.0168732,0.008861252,23,7542.699,3252.8426,5.01E+04
32,Bashkir_IkskoBelsky_Uran,585437,0.0325789,0.0174632,0.008696574,24,5537.9771,2863.2987,1.57E+04
33,Bashkir_Ming_Miyakinsky,584863,0.0295818,0.0178493,0.008006267,22,9467.7484,4914.9448,2.96E+04
34,Bashkir_North_Tabyn_Balysky,588784,0.03055515,0.0197609,0.006959323,20,5163.872,2317.6614,1.97E+04
35,Bashkir_Tamyan_Kypcak,584835,0.03411635,0.0284545,0.01154599,20,3275.1103,1731.5691,8.80E+03
36,Basque,595452.5,0.0600209,0.0232767,0.007384203,22,3494.0747,2890.2685,4.39E+03
37,BedouinA,596429,0.0449947,0.0191183,0.004296182,14,8566.7666,5340.9615,1.43E+04
38,BedouinB,596195.5,0.06759515,0.0413676,0.022567849,14,1061.7737,894.8624,1.31E+03
39,Belarusian,596127,0.0484993,0.0170313,0.001562982,22,24513.9817,13838.4421,5.43E+04
40,Bengali,596420,0.04359305,0.0398589,0.026987694,4,50019.3541,38317.8759,7.50E+04
