PublicationID,publication,citation,doi
1,Barbieri_2018,"C. Barbieri, et al., The current genomic landscape of western South America: Andes, Amazonia and Pacific Coast. Mol. Biol. Evol. 36, 2698–2713 (2019).",https://doi.org/10.1093/molbev/msz174
2,Broushaki2016,"F. Broushaki, et al., Early Neolithic genomes from the eastern Fertile Crescent. Science (80-. ). 353, 499–503 (2016).",https://doi.org/10.1126/science.aaf7943
3,Flegontov_2019,"P. Flegontov, et al., Palaeo-Eskimo genetic ancestry and the peopling of Chukotka and North America. Nature 570, 236–240 (2019).",https://doi.org/10.1038/s41586-019-1251-y
4,Jeong_2019,"C. Jeong, et al., The genetic history of admixture across inner Eurasia. Nat. Ecol. Evol. 3, 966–976 (2019).",https://doi.org/10.1038/s41559-019-0878-2
5,LazaridisNature2014,"I. Lazaridis, et al., Ancient human genomes suggest three ancestral populations for present-day Europeans. Nature 513, 409–413 (2014).",https://doi.org/10.1038/nature13673
6,LazaridisNature2016,"I. Lazaridis, et al., Genomic insights into the origin of farming in the ancient Near East. Nature 536, 419–424 (2016).",https://doi.org/10.1038/nature19310
7,Lipson_2020,"M. Lipson, et al., Ancient West African foragers in the context of African population history. Nature 577, 665–670 (2020).",https://doi.org/10.1038/s41586-020-1929-1
8,PattersonGenetics2012,"N. Patterson, et al., Ancient admixture in human history. Genetics 192, 1065–1093 (2012).",https://doi.org/10.1534/genetics.112.145037
9,PickrellNatureCommunications2012,"J. K. Pickrell, et al., The genetic prehistory of southern Africa. Nat. Commun. 3, 1143 (2012)",https://doi.org/10.1038/ncomms2140
10,QinStonekingMBE2015,"P. Qin, M. Stoneking, Denisovan Ancestry in East Eurasian and Native American Populations. Mol. Biol. Evol. 32, 2665–2674 (2015).",https://doi.org/10.1093/molbev/msv141
11,SkoglundCell2017,"P. Skoglund, et al., Reconstructing prehistoric African population structure. Cell 171, 59–71 (2017).",https://doi.org/10.1016/j.cell.2017.08.049
12,SkoglundNature2015,"P. Skoglund, et al., Genetic evidence for two founding populations of the Americas. Nature 525, 104–108 (2015).",https://doi.org/10.1038/nature14895
13,SkoglundNature2016,"P. Skoglund, et al., Genomic insights into the peopling of the Southwest Pacific. Nature 538, 510–513 (2016).", https://doi.org/10.1038/nature19844
