SamplePopID;populationName.x;heterozygosity;ooa;avgfst;avgregfst
20;Orcadian;0.699202528;6602170.84706578;0.224441939;0.100895597
21;Adygei;0.706247279;4172354.77378805;0.208404076;0.140964427
22;Russian;0.715475109;5980569.57214357;0.200500549;0.097060316
24;Basque;0.702099957;5592925.33026567;0.22147405;0.254209723
25;French;0.716031267;5564319.65599911;0.197571654;0.144769203
27;Italian;0.697623872;5031850.63827108;0.226125582;0.120957112
28;Sardinian;0.709421693;4774553.43309124;0.211197668;0.089841768
29;Tuscan;0.68592766;4777578.35282123;0.25344035;0.130729464
34;Mozabite;0.725095014;5168096.30845514;0.196981673;0.075736862
36;Bedouin;0.726175669;2850726.09336887;0.18107576;0.26274375
37;Druze;0.713129065;2894374.30235031;0.199558243;0.14553753
38;Palestinian;0.72438934;2894374.30235031;0.181732008;0.144605078
50;Balochi;0.716936994;5851100.27731686;0.191409485;0.129689749
51;Brahui;0.71480636;5851100.27731686;0.195922393;0.178689841
52;Burusho;0.713671871;6485722.12593525;0.189353643;0.10546948
54;Hazara;0.710490008;6142005.40332107;0.186678202;0.121147781
56;Kalash;0.682887499;6263432.04615304;0.250193044;0.107501994
57;Makrani;0.721016176;5714281.88099735;0.188610213;0.227180318
58;Pathan;0.718114363;6188365.63919994;0.185291893;0.161568023
59;Sindhi;0.717223352;6211736.98612688;0.185105708;0.103974926
81;Piapoco;0.587056522;19549144.5044732;0.342046877;0.126984084
82;Karitiana;0.543326521;21066607.7713248;0.380705177;0.129677482
83;Surui;0.478265955;21219463.6884303;0.455621245;0.088647639
86;Maya;0.659757722;16713462.7155028;0.251662315;0.154918734
87;Pima;0.591962045;14904568.1072323;0.33354119;0.133043485
464;Mandenka;0.736036056;5558304.16723741;0.213697724;0.199764847
465;Yoruba;0.749510874;3716279.38312134;0.19355052;0.133905032
488;BiakaPygmy;0.742078705;2467334.8476812;0.245345297;0.147318038
489;MbutiPygmy;0.721569484;1397273.30113146;0.31115555;0.075992952
494;San;0.682379318;3915247.75087019;0.391427602;0.091738554
501;Assamese;0.717226179;8487380.0580906;0.176425723;0.123526316
502;Bengali;0.717962309;8084651.18566599;0.179197187;0.13316785
