SamplePopID,populationName,samplesize,geographicRegion,dataSet.of.origin,lat,lon,location,languoidName,glottocode,curation_notes,Exclude
20,Orcadian,16,EUROPE,HGDP-CEPH,59,-3,OrkneyIslands,Scots,scot1243,ok,ok
21,Adygei,17,EUROPE,HGDP-CEPH,44,39,Russia-Caucasus,Adyghe,adyg1241,automatically assigned by Robert F,ok
22,Russian,25,EUROPE,HGDP-CEPH,61,40,Russia,Russian,russ1263,automatically assigned by Robert F,ok
24,Basque,24,EUROPE,HGDP-CEPH,43,0,France,Basque,basq1248,automatically assigned by Robert F,ok
25,French,29,EUROPE,HGDP-CEPH,46,2,France,Standard French,stan1290,automatically assigned by Robert F,ok
27,Italian,13,EUROPE,HGDP-CEPH,46,10,Italy-Bergamo,Italian,ital1282,automatically assigned by Robert F,ok
28,Sardinian,28,EUROPE,HGDP-CEPH,40,9,Italy,Sardinian,sard1257,automatically assigned by Robert F,ok
29,Tuscan,8,EUROPE,HGDP-CEPH,43,11,Italy,Italian,ital1282,ok,ok
34,Mozabite,30,MIDDLE_EAST,HGDP-CEPH,32,3,Algeria-Mzab,Tumzabt,tumz1238,ok,ok
36,Bedouin,48,MIDDLE_EAST,HGDP-CEPH,31,35,Israel-Negev,Eastern Egyptian Bedawi Arabic,east2690,ok,ok
37,Druze,47,MIDDLE_EAST,HGDP-CEPH,32,35,Israel-Carmel,South Levantine Arabic,sout3123,ok,ok
38,Palestinian,51,MIDDLE_EAST,HGDP-CEPH,32,35,Israel-Central,South Levantine Arabic,sout3123,ok,ok
50,Balochi,25,CENTRAL_SOUTH_ASIA,HGDP-CEPH,30.4987,66.5,Pakistan,Eastern Balochi,east2304,automatically assigned by Robert F,ok
51,Brahui,25,CENTRAL_SOUTH_ASIA,HGDP-CEPH,30.4987,66.5,Pakistan,Brahui,brah1256,automatically assigned by Robert F,ok
52,Burusho,25,CENTRAL_SOUTH_ASIA,HGDP-CEPH,36.4984,74,Pakistan,Burushaski,buru1296,ok,ok
54,Hazara,23,CENTRAL_SOUTH_ASIA,HGDP-CEPH,33.4986,70,Pakistan,Hazaragi,haza1239,automatically assigned by Robert F,ok
56,Kalash,25,CENTRAL_SOUTH_ASIA,HGDP-CEPH,35.9937,71.5,Pakistan,Kalasha,kala1372,automatically assigned by Robert F,ok
57,Makrani,24,CENTRAL_SOUTH_ASIA,HGDP-CEPH,26,64,Pakistan,Makrani,makr1243,automatically assigned by Robert F,ok
58,Pathan,24,CENTRAL_SOUTH_ASIA,HGDP-CEPH,33.487,70.5,Pakistan,Pashto,pash1269,ok,ok
59,Sindhi,25,CENTRAL_SOUTH_ASIA,HGDP-CEPH,25.4906,69,Pakistan,Sindhi,sind1272,automatically assigned by Robert F,ok
81,Piapoco,13,AMERICA,HGDP-CEPH,3,-68,Colombia,Piapoco,piap1246,automatically assigned by Robert F,ok
82,Karitiana,24,AMERICA,HGDP-CEPH,-10,-63,Brazil,Kariti•À_na,kari1311,automatically assigned by Robert F,ok
83,Surui,21,AMERICA,HGDP-CEPH,-11,-62,Brazil,Suru•À_,suru1262,ok,ok
86,Maya,25,AMERICA,HGDP-CEPH,19,-91,Mexico,Yucatec Maya,yuca1254,ok,ok
87,Pima,25,AMERICA,HGDP-CEPH,29,-108,Mexico,Pima Bajo,pima1248,automatically assigned by Robert F,ok
464,Mandenka,24,AFRICA,HGDP-CEPH,12,-12,Senegal,Mandinka,mand1436,ok,ok
465,Yoruba,50,AFRICA,HGDP-CEPH,7.99509,5,Nigeria,Yoruba,yoru1245,automatically assigned by Robert F,ok
488,BiakaPygmy,32,AFRICA,HGDP-CEPH,4,17,CentralAfricanRepublic,Yaka,yaka1272,ok,ok
489,MbutiPygmy,15,AFRICA,HGDP-CEPH,1,29,Congo,Asoa,NA,exclude,exclude
